"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2004-01-01","2004","01","01","","0.9","","-8.3","","-3.7","","21.7","","0.0","","0.0","","0.0","","0.0","","5","","","","",""
"2004-01-02","2004","01","02","","-6.0","","-9.9","","-8.0","","26.0","","0.0","","0.0","","3.0","","3.2","","4","","","","",""
"2004-01-03","2004","01","03","","6.6","","-7.1","","-0.3","","18.3","","0.0","","4.6","","0.0","T","4.6","","7","","","","",""
"2004-01-04","2004","01","04","","6.0","","-6.6","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"2004-01-05","2004","01","05","","-6.6","","-10.6","","-8.6","","26.6","","0.0","","0.0","","3.4","","3.8","","6","","","","",""
"2004-01-06","2004","01","06","","-8.8","","-13.9","","-11.4","","29.4","","0.0","","0.0","","0.8","","0.8","","8","","","","",""
"2004-01-07","2004","01","07","","-10.6","","-22.8","","-16.7","","34.7","","0.0","","0.0","","0.8","","0.8","","8","","","","",""
"2004-01-08","2004","01","08","","-20.6","","-25.0","","-22.8","","40.8","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2004-01-09","2004","01","09","","-20.4","","-26.9","","-23.7","","41.7","","0.0","","0.0","","0.0","","0.0","","7","","","","",""
"2004-01-10","2004","01","10","","-19.6","","-25.4","","-22.5","","40.5","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"2004-01-11","2004","01","11","","-11.6","","-22.6","","-17.1","","35.1","","0.0","","0.0","","4.2","","3.4","","6","","","","",""
