"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-01","2016","01","01","","0.4","","-4.0","","-1.8","","19.8","","0.0","","","M","","M","0.2","","14","","27","","50",""
"2016-01-02","2016","01","02","","1.2","","-4.3","","-1.6","","19.6","","0.0","","","M","","M","0.7","","14","","25","","41",""
"2016-01-03","2016","01","03","","0.8","","-14.3","","-6.8","","24.8","","0.0","","","M","","M","4.1","","14","","33","","41",""
"2016-01-04","2016","01","04","","-13.4","","-22.1","","-17.8","","35.8","","0.0","","","M","","M","0.2","","17","","35","","39",""
"2016-01-05","2016","01","05","","-6.0","","-22.1","","-14.1","","32.1","","0.0","","","M","","M","0.0","","18","","23","","37",""
"2016-01-06","2016","01","06","","0.3","","-11.1","","-5.4","","23.4","","0.0","","","M","","M","0.0","","18","","23","","35",""
"2016-01-07","2016","01","07","","0.1","","-8.5","","-4.2","","22.2","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2016-01-08","2016","01","08","","2.3","","-7.0","","-2.4","","20.4","","0.0","","","M","","M","0.0","","18","","","","<31",""
"2016-01-09","2016","01","09","","3.9","","1.7","","2.8","","15.2","","0.0","","","M","","M","2.9","","17","","16","","39",""
"2016-01-10","2016","01","10","","7.8","","-0.7","","3.6","","14.4","","0.0","","","M","","M","9.9","","8","","24","","82",""
"2016-01-11","2016","01","11","","-0.7","","-11.5","","-6.1","","24.1","","0.0","","","M","","M","0.0","","3","","25","","82",""
"2016-01-12","2016","01","12","","-2.4","","-11.3","","-6.9","","24.9","","0.0","","","M","","M","1.4","","4","","13","","50",""
"2016-01-13","2016","01","13","","-3.8","","-13.9","","-8.9","","26.9","","0.0","","","M","","M","0.2","","4","","27","","54",""
"2016-01-14","2016","01","14","","-9.5","","-14.1","","-11.8","","29.8","","0.0","","","M","","M","0.6","","4","","","","<31",""
"2016-01-15","2016","01","15","","","M","","M","","M","","M","","M","","M","","M","","M","","","","","<31",""
"2016-01-16","2016","01","16","","-1.6","","-8.8","","-5.2","","23.2","","0.0","","","M","","M","0.7","","2","","27","","43",""
"2016-01-17","2016","01","17","","-4.4","","-11.8","","-8.1","","26.1","","0.0","","","M","","M","0.2","","3","","24","","35",""
"2016-01-18","2016","01","18","","-7.4","","-14.5","","-11.0","","29.0","","0.0","","","M","","M","5.0","","8","","25","","52",""
"2016-01-19","2016","01","19","","-8.9","","-16.3","","-12.6","","30.6","","0.0","","","M","","M","0.2","","3","","28","","52",""
"2016-01-20","2016","01","20","","-4.6","","-12.5","","-8.6","","26.6","","0.0","","","M","","M","0.0","","2","","27","","37",""
"2016-01-21","2016","01","21","","-6.7","","-14.5","","-10.6","","28.6","","0.0","","","M","","M","0.0","","2","","26","","32",""
"2016-01-22","2016","01","22","","-3.0","","-10.4","","-6.7","","24.7","","0.0","","","M","","M","0.0","","2","","","","<31",""
"2016-01-23","2016","01","23","","-8.6","","-14.5","","-11.6","","29.6","","0.0","","","M","","M","0.0","","2","","4","","32",""
"2016-01-24","2016","01","24","","-6.3","","-16.3","","-11.3","","29.3","","0.0","","","M","","M","0.0","","2","","","","<31",""
"2016-01-25","2016","01","25","","-0.4","","-6.5","","-3.5","","21.5","","0.0","","","M","","M","0.0","","3","","","","<31",""
"2016-01-26","2016","01","26","","5.7","","-2.1","","1.8","","16.2","","0.0","","","M","","M","4.0","","2","","24","","59",""
"2016-01-27","2016","01","27","","2.1","","-7.2","","-2.6","","20.6","","0.0","","","M","","M","0.2","","2","","29","","50",""
"2016-01-28","2016","01","28","","0.9","","-7.5","","-3.3","","21.3","","0.0","","","M","","M","0.2","","3","","15","","39",""
"2016-01-29","2016","01","29","","1.1","","-7.4","","-3.2","","21.2","","0.0","","","M","","M","1.1","","2","","25","","41",""
"2016-01-30","2016","01","30","","-0.9","","-9.0","","-5.0","","23.0","","0.0","","","M","","M","0.0","","3","","25","","39",""
"2016-01-31","2016","01","31","","6.0","","-6.2","","-0.1","","18.1","","0.0","","","M","","M","1.8","","3","","","","<31",""
