"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2018-01-01","2018","01","01","","-18.8","","-25.3","","-22.1","","40.1","","0.0","","","M","","M","0.0","","18","","25","","32",""
"2018-01-02","2018","01","02","","-14.0","","-24.9","","-19.5","","37.5","","0.0","","","M","","M","2.5","","18","","13","","32",""
"2018-01-03","2018","01","03","","-10.2","","-16.2","","-13.2","","31.2","","0.0","","","M","","M","0.2","","22","","","","<31",""
"2018-01-04","2018","01","04","","-6.7","","-14.1","","-10.4","","28.4","","0.0","","","M","","M","0.9","","23","","27","","46",""
"2018-01-05","2018","01","05","","-14.1","","-22.5","","-18.3","","36.3","","0.0","","","M","","M","3.4","","17","","27","","56",""
"2018-01-06","2018","01","06","","-20.0","","-23.8","","-21.9","","39.9","","0.0","","","M","","M","0.4","","15","","26","","56",""
"2018-01-07","2018","01","07","","-11.0","","-24.3","","-17.7","","35.7","","0.0","","","M","","M","3.4","","15","","13","","32",""
"2018-01-08","2018","01","08","","-3.0","","-11.1","","-7.1","","25.1","","0.0","","","M","","M","9.9","","20","","12","","32",""
"2018-01-09","2018","01","09","","-0.2","","-10.3","","-5.3","","23.3","","0.0","","","M","","M","","M","27","","28","","46",""
"2018-01-10","2018","01","10","","-0.8","","-15.1","","-8.0","","26.0","","0.0","","","M","","M","0.4","","28","","","","<31",""
"2018-01-11","2018","01","11","","6.1","","-1.2","","2.5","","15.5","","0.0","","","M","","M","6.7","","26","","15","","37",""
"2018-01-12","2018","01","12","","9.8","","-7.8","","1.0","","17.0","","0.0","","","M","","M","18.7","","12","","30","","41",""
"2018-01-13","2018","01","13","","-7.8","","-24.9","","-16.4","","34.4","","0.0","","","M","","M","12.7","","17","","1","","32",""
"2018-01-14","2018","01","14","","-17.9","","-27.1","","-22.5","","40.5","","0.0","","","M","","M","0.4","","28","","","","<31",""
"2018-01-15","2018","01","15","","-14.9","","-23.7","","-19.3","","37.3","","0.0","","","M","","M","0.0","","26","","","","<31",""
"2018-01-16","2018","01","16","","-9.6","","-15.1","","-12.4","","30.4","","0.0","","","M","","M","0.4","","25","","","","<31",""
"2018-01-17","2018","01","17","","-5.6","","-12.9","","-9.3","","27.3","","0.0","","","M","","M","0.0","","24","","22","","44",""
"2018-01-18","2018","01","18","","-3.0","","-6.0","","-4.5","","22.5","","0.0","","","M","","M","0.0","","23","","22","","39",""
"2018-01-19","2018","01","19","","0.3","","-4.6","","-2.2","","20.2","","0.0","","","M","","M","0.0","","24","","21","","32",""
"2018-01-20","2018","01","20","","4.1","","-1.0","","1.6","","16.4","","0.0","","","M","","M","0.0","","23","","25","","65",""
"2018-01-21","2018","01","21","","0.6","","-6.6","","-3.0","","21.0","","0.0","","","M","","M","0.0","","19","","","","<31",""
"2018-01-22","2018","01","22","","-3.4","","-7.7","","-5.6","","23.6","","0.0","","","M","","M","9.3","","19","","3","","50",""
"2018-01-23","2018","01","23","","3.8","","-4.0","","-0.1","","18.1","","0.0","","","M","","M","11.3","","20","","24","","39",""
"2018-01-24","2018","01","24","","2.0","","-13.7","","-5.9","","23.9","","0.0","","","M","","M","0.0","","19","","28","","56",""
