"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1990-01-01","1990","01","01","","4.5","","-10.2","","-2.9","","20.9","","0.0","","1.0","","0.2","","1.2","","5","","23","","63",""
"1990-01-02","1990","01","02","","0.2","","-12.1","","-6.0","","24.0","","0.0","","0.0","","0.0","T","0.0","T","4","","24","","65",""
"1990-01-03","1990","01","03","","1.8","","-1.3","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","4","","23","","37",""
"1990-01-04","1990","01","04","","5.8","","1.5","","3.7","","14.3","","0.0","","8.2","","0.0","","8.2","","4","","27","","57",""
"1990-01-05","1990","01","05","","1.6","","-6.9","","-2.7","","20.7","","0.0","","0.0","","0.0","T","0.0","T","2","","","","<31",""
"1990-01-06","1990","01","06","","-0.6","","-14.2","","-7.4","","25.4","","0.0","","0.0","","1.6","","1.6","","1","","26","","43",""
"1990-01-07","1990","01","07","","2.3","","-14.2","","-6.0","","24.0","","0.0","","0.0","","2.2","","1.8","","2","","23","","44",""
"1990-01-08","1990","01","08","","2.9","","-5.1","","-1.1","","19.1","","0.0","","0.0","","0.0","","0.0","","4","","24","","46",""
"1990-01-09","1990","01","09","","2.8","","-7.6","","-2.4","","20.4","","0.0","","0.2","","0.2","","0.6","","3","","","","<31",""
"1990-01-10","1990","01","10","","0.5","","-3.8","","-1.7","","19.7","","0.0","","0.0","","0.4","","0.6","","2","","3","","37",""
"1990-01-11","1990","01","11","","2.1","","-5.1","","-1.5","","19.5","","0.0","","0.0","","7.4","","7.6","","2","","14","","41",""
"1990-01-12","1990","01","12","","1.1","","-6.6","","-2.8","","20.8","","0.0","","0.0","","1.4","","1.4","","10","","25","","35",""
"1990-01-13","1990","01","13","","-6.0","","-18.9","","-12.5","","30.5","","0.0","","0.0","","0.2","","0.2","","11","","26","","48",""
"1990-01-14","1990","01","14","","-13.5","","-23.7","","-18.6","","36.6","","0.0","","0.0","","0.0","","0.0","","9","","","","<31",""
