"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2014-01-01","2014","01","01","","-16.2","","-24.2","","-20.2","","38.2","","0.0","","","M","","M","0.0","","24","","30","","32",""
"2014-01-02","2014","01","02","","-22.2","","-27.0","","-24.6","","42.6","","0.0","","","M","","M","0.4","","23","","3","","41",""
"2014-01-03","2014","01","03","","-18.9","","-24.2","","-21.6","","39.6","","0.0","","","M","","M","0.2","","23","","2","","44",""
"2014-01-04","2014","01","04","","-8.2","","-23.7","","-16.0","","34.0","","0.0","","","M","","M","0.0","","23","","","","<31",""
"2014-01-05","2014","01","05","","0.6","","-12.5","","-6.0","","24.0","","0.0","","","M","","M","6.6","","24","","","","<31",""
"2014-01-06","2014","01","06","","6.7","","-11.1","","-2.2","","20.2","","0.0","","","M","","M","13.4","","21","","24","","72",""
"2014-01-07","2014","01","07","","-11.0","","-16.4","","-13.7","","31.7","","0.0","","","M","","M","0.2","","18","","25","","65",""
"2014-01-08","2014","01","08","","-8.4","","-14.3","","-11.4","","29.4","","0.0","","","M","","M","","M","18","","","","<31",""
"2014-01-09","2014","01","09","","-7.5","","-11.9","","-9.7","","27.7","","0.0","","","M","","M","0.0","","18","","24","","35",""
"2014-01-10","2014","01","10","","-4.0","","-13.3","","-8.7","","26.7","","0.0","","","M","","M","0.0","","18","","","","<31",""
