"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","2.5","","-12.8","","-5.1","","23.1","","0.0","","","","","M","16.5","","2","","30","","50",""
"2019-01-02","2019","01","02","","-8.7","","-15.4","","-12.1","","30.1","","0.0","","","","","M","0.5","","2","","","","",""
"2019-01-03","2019","01","03","","-1.6","","-14.0","","-7.8","","25.8","","0.0","","","","","M","2.3","","2","","2","","31",""
"2019-01-04","2019","01","04","","3.0","","-1.9","","0.5","","17.5","","0.0","","","","","M","2.3","","6","","23","","38",""
"2019-01-05","2019","01","05","","2.3","","0.2","","1.2","","16.8","","0.0","","","","","M","0.0","","3","","","","",""
"2019-01-06","2019","01","06","","1.5","","-12.9","","-5.7","","23.7","","0.0","","","","","M","0.2","","2","","34","","46",""
"2019-01-07","2019","01","07","","-8.5","","-17.1","","-12.8","","30.8","","0.0","","","","","M","3.2","","2","","10","","35",""
"2019-01-08","2019","01","08","","1.4","","-8.8","","-3.7","","21.7","","0.0","","","","","M","5.4","","2","","14","","58",""
"2019-01-09","2019","01","09","","1.2","","-3.0","","-0.9","","18.9","","0.0","","","","","M","0.0","","3","","31","","36",""
"2019-01-10","2019","01","10","","-2.8","","-12.9","","-7.9","","25.9","","0.0","","","","","M","0.2","","11","","28","","48",""
"2019-01-11","2019","01","11","","-12.9","","-18.9","","-15.9","","33.9","","0.0","","","","","M","0.4","","3","","25","","43",""
"2019-01-12","2019","01","12","","-13.5","","-18.2","","-15.9","","33.9","","0.0","","","","","M","0.0","","2","","24","","31",""
"2019-01-13","2019","01","13","","-10.3","","-19.9","","-15.1","","33.1","","0.0","","","","","M","1.5","","2","","","","",""
"2019-01-14","2019","01","14","","-7.8","","-18.0","","-12.9","","30.9","","0.0","","","","","M","0.6","","2","","","","",""
"2019-01-15","2019","01","15","","-1.4","","-7.8","","-4.6","","22.6","","0.0","","","","","M","0.5","","3","","14","","31",""
"2019-01-16","2019","01","16","","1.4","","-17.5","","-8.0","","26.0","","0.0","","","","","M","0.4","","3","","30","","60",""
"2019-01-17","2019","01","17","","-13.2","","-21.1","","-17.2","","35.2","","0.0","","","","","M","1.1","","2","","","","",""
"2019-01-18","2019","01","18","","-8.9","","-15.9","","-12.4","","30.4","","0.0","","","","","M","1.2","","3","","","","",""
"2019-01-19","2019","01","19","","-15.1","","-22.9","","-19.0","","37.0","","0.0","","","","","M","1.8","","5","","3","","38",""
"2019-01-20","2019","01","20","","-15.6","","-21.2","","-18.4","","36.4","","0.0","","","","","M","6.7","","5","","1","","53",""
"2019-01-21","2019","01","21","","-16.3","","-21.4","","-18.9","","36.9","","0.0","","","","","M","1.1","","17","","28","","48",""
"2019-01-22","2019","01","22","","-9.7","","-22.3","","-16.0","","34.0","","0.0","","","","","M","0.0","","13","","28","","34",""
"2019-01-23","2019","01","23","","0.7","","-13.3","","-6.3","","24.3","","0.0","","","","","M","16.0","","16","","","","",""
"2019-01-24","2019","01","24","","2.5","","-6.6","","-2.0","","20.0","","0.0","","","","","M","21.1","","16","","30","","49",""
"2019-01-25","2019","01","25","","-1.6","","-11.0","","-6.3","","24.3","","0.0","","","","","M","0.4","","12","","25","","57",""
"2019-01-26","2019","01","26","","-10.3","","-13.7","","-12.0","","30.0","","0.0","","","","","M","1.3","","12","","","","",""
"2019-01-27","2019","01","27","","-0.5","","-12.5","","-6.5","","24.5","","0.0","","","","","M","0.0","","13","","22","","56",""
"2019-01-28","2019","01","28","","-12.3","","-20.5","","-16.4","","34.4","","0.0","","","","","M","","M","13","","4","","35",""
"2019-01-29","2019","01","29","","-9.1","","-18.0","","-13.5","","31.5","","0.0","","","","","M","6.0","","13","","4","","40",""
"2019-01-30","2019","01","30","","-7.5","","-16.8","","-12.2","","30.2","","0.0","","","","","M","0.0","","23","","25","","53",""
"2019-01-31","2019","01","31","","-13.9","","-17.4","","-15.6","","33.6","","0.0","","","","","M","0.0","","18","","25","","53",""
"2019-02-01","2019","02","01","","-11.9","","-17.1","","-14.5","","32.5","","0.0","","","","","M","0.0","","16","","25","","42",""
"2019-02-02","2019","02","02","","-6.3","","-15.4","","-10.8","","28.8","","0.0","","","","","M","2.2","","15","","23","","34",""
"2019-02-03","2019","02","03","","-10.6","","-14.3","","-12.4","","30.4","","0.0","","","","","M","2.0","","22","","","","",""
"2019-02-04","2019","02","04","","-2.9","","-10.6","","-6.7","","24.7","","0.0","","","","","M","0.9","","20","","","M","","M"
"2019-02-05","2019","02","05","","7.1","","-9.5","","-1.2","","19.2","","0.0","","","","","M","7.7","","18","","","M","","M"
"2019-02-06","2019","02","06","","-5.8","","-10.7","","-8.3","","26.3","","0.0","","","","","M","3.4","","14","","3","","38",""
"2019-02-07","2019","02","07","","2.3","","-6.7","","-2.2","","20.2","","0.0","","","","","M","1.7","","14","","","","",""
"2019-02-08","2019","02","08","","6.6","","-8.8","","-1.1","","19.1","","0.0","","","","","M","0.7","","14","","25","","84",""
