"Station Name","VANCOUVER HARBOUR CS"
"Province","BRITISH COLUMBIA"
"Current Station Operator","Environment and Climate Change Canada - Meteorological Service of Canada"
"Latitude","49.30"
"Longitude","-123.12"
"Elevation","2.50"
"Climate Identifier","1108446"
"WMO Identifier","71201"
"TC Identifier","WHC"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2019-01-01","2019","01","01","","6.4","","2.5","","4.5","","13.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-02","2019","01","02","","6.4","","4.1","","5.2","","12.8","","0.0","","","","","M","5.5","","","","","M","","M"
"2019-01-03","2019","01","03","","9.7","","4.8","","7.2","","10.8","","0.0","","","","","M","71.7","","","","","M","","M"
"2019-01-04","2019","01","04","","10.1","","7.6","","8.8","","9.2","","0.0","","","","","M","8.6","","","","","M","","M"
"2019-01-05","2019","01","05","","10.0","","6.6","","8.3","","9.7","","0.0","","","","","M","4.0","","","","","M","","M"
"2019-01-06","2019","01","06","","8.6","","5.0","","6.8","","11.2","","0.0","","","","","M","7.9","","","","","M","","M"
"2019-01-07","2019","01","07","","6.4","","2.5","","4.4","","13.6","","0.0","","","","","M","0.2","","","","","M","","M"
"2019-01-08","2019","01","08","","6.0","","1.5","","3.8","","14.2","","0.0","","","","","M","1.7","","","","","M","","M"
"2019-01-09","2019","01","09","","10.7","","4.5","","7.6","","10.4","","0.0","","","","","M","5.9","","","","","M","","M"
"2019-01-10","2019","01","10","","","M","","M","","M","","M","","M","","","","M","","M","","","","M","","M"
"2019-01-11","2019","01","11","","11.7","","5.7","","8.7","","9.3","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-12","2019","01","12","","10.3","","3.0","","6.6","","11.4","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-13","2019","01","13","","11.2","","3.6","","7.4","","10.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-14","2019","01","14","","6.5","","1.9","","4.2","","13.8","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-15","2019","01","15","","7.2","","0.2","","3.7","","14.3","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-16","2019","01","16","","8.0","","1.2","","4.6","","13.4","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-17","2019","01","17","","9.9","","2.8","","6.4","","11.6","","0.0","","","","","M","13.2","","","","","M","","M"
"2019-01-18","2019","01","18","","9.9","","7.0","","8.5","","9.5","","0.0","","","","","M","15.9","","","","","M","","M"
"2019-01-19","2019","01","19","","11.6","","5.9","","8.7","","9.3","","0.0","","","","","M","0.9","","","","","M","","M"
"2019-01-20","2019","01","20","","8.4","","2.7","","5.5","","12.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-21","2019","01","21","","8.8","","2.2","","5.5","","12.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-22","2019","01","22","","6.6","","4.5","","5.6","","12.4","","0.0","","","","","M","19.3","","","","","M","","M"
"2019-01-23","2019","01","23","","7.4","","3.3","","5.4","","12.6","","0.0","","","","","M","12.5","","","","","M","","M"
"2019-01-24","2019","01","24","","8.3","","5.4","","6.8","","11.2","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-25","2019","01","25","","8.9","","5.5","","7.2","","10.8","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-26","2019","01","26","","7.9","","4.4","","6.2","","11.8","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-27","2019","01","27","","7.6","","2.3","","5.0","","13.0","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-28","2019","01","28","","9.9","","1.5","","5.7","","12.3","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-29","2019","01","29","","9.1","","0.9","","5.0","","13.0","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-30","2019","01","30","","7.3","","2.3","","4.8","","13.2","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-01-31","2019","01","31","","9.3","","5.4","","7.3","","10.7","","0.0","","","","","M","0.5","","","","","M","","M"
"2019-02-01","2019","02","01","","7.8","","6.6","","7.2","","10.8","","0.0","","","","","M","26.8","","","","","M","","M"
"2019-02-02","2019","02","02","","7.3","","4.8","","6.1","","11.9","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-03","2019","02","03","","5.2","","-2.5","","1.3","","16.7","","0.0","","","","","M","0.5","","","","","M","","M"
"2019-02-04","2019","02","04","","1.1","","-4.0","","-1.5","","19.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-05","2019","02","05","","1.2","","-4.5","","-1.6","","19.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-06","2019","02","06","","3.1","","-2.4","","0.3","","17.7","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-07","2019","02","07","","2.4","","-1.8","","0.3","","17.7","","0.0","","","","","M","0.1","","","","","M","","M"
"2019-02-08","2019","02","08","","2.5","","-1.2","","0.7","","17.3","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-09","2019","02","09","","5.2","","-2.2","","1.5","","16.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-10","2019","02","10","","0.4","","-3.9","","-1.8","","19.8","","0.0","","","","","M","2.6","","","","","M","","M"
"2019-02-11","2019","02","11","","1.7","","-4.7","","-1.5","","19.5","","0.0","","","","","M","4.3","","","","","M","","M"
"2019-02-12","2019","02","12","","1.3","","-1.7","","-0.2","","18.2","","0.0","","","","","M","4.9","","","","","M","","M"
"2019-02-13","2019","02","13","","3.3","","-1.0","","1.2","","16.8","","0.0","","","","","M","1.6","","","","","M","","M"
"2019-02-14","2019","02","14","","4.2","","-3.1","","0.5","","17.5","","0.0","","","","","M","6.5","","","","","M","","M"
"2019-02-15","2019","02","15","","4.8","","1.4","","3.1","","14.9","","0.0","","","","","M","18.1","","","","","M","","M"
"2019-02-16","2019","02","16","","7.2","","2.6","","4.9","","13.1","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-17","2019","02","17","","7.2","","1.4","","4.3","","13.7","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-18","2019","02","18","","4.6","","0.5","","2.5","","15.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-19","2019","02","19","","3.5","","1.4","","2.5","","15.5","","0.0","","","","","M","4.2","","","","","M","","M"
"2019-02-20","2019","02","20","","6.8","","1.6","","4.2","","13.8","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-21","2019","02","21","","8.1","","0.0","","4.1","","13.9","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-22","2019","02","22","","4.8","","1.4","","3.1","","14.9","","0.0","","","","","M","10.5","","","","","M","","M"
"2019-02-23","2019","02","23","","5.9","","2.8","","4.3","","13.7","","0.0","","","","","M","4.0","","","","","M","","M"
"2019-02-24","2019","02","24","","9.0","","0.2","","4.6","","13.4","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-25","2019","02","25","","6.9","","-0.2","","3.3","","14.7","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-26","2019","02","26","","7.0","","-1.3","","2.8","","15.2","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-02-27","2019","02","27","","5.6","","-1.3","","2.2","","15.8","","0.0","","","","","M","0.1","","","","","M","","M"
"2019-02-28","2019","02","28","","7.7","","2.6","","5.2","","12.8","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-01","2019","03","01","","6.5","","-0.6","","2.9","","15.1","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-02","2019","03","02","","7.9","","-0.1","","3.9","","14.1","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-03","2019","03","03","","6.7","","2.4","","4.5","","13.5","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-04","2019","03","04","","6.1","","-0.9","","2.6","","15.4","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-05","2019","03","05","","8.6","","-0.9","","3.8","","14.2","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-06","2019","03","06","","5.1","","-1.1","","2.0","","16.0","","0.0","","","","","M","3.3","","","","","M","","M"
"2019-03-07","2019","03","07","","5.1","","1.2","","3.2","","14.8","","0.0","","","","","M","9.8","","","","","M","","M"
"2019-03-08","2019","03","08","","6.4","","1.3","","3.8","","14.2","","0.0","","","","","M","2.2","","","","","M","","M"
"2019-03-09","2019","03","09","","7.4","","-0.5","","3.4","","14.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-10","2019","03","10","","8.7","","-0.1","","4.3","","13.7","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-11","2019","03","11","","7.7","","3.0","","5.4","","12.6","","0.0","","","","","M","11.7","","","","","M","","M"
"2019-03-12","2019","03","12","","9.0","","2.9","","5.9","","12.1","","0.0","","","","","M","2.3","","","","","M","","M"
"2019-03-13","2019","03","13","","9.6","","3.7","","6.7","","11.3","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-14","2019","03","14","","9.7","","5.4","","7.5","","10.5","","0.0","","","","","M","2.5","","","","","M","","M"
"2019-03-15","2019","03","15","","13.0","","5.1","","9.0","","9.0","","0.0","","","","","M","0.2","","","","","M","","M"
"2019-03-16","2019","03","16","","11.4","","4.5","","7.9","","10.1","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-17","2019","03","17","","13.0","","3.7","","8.4","","9.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-18","2019","03","18","","15.5","","5.3","","10.4","","7.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-19","2019","03","19","","16.9","","5.3","","11.1","","6.9","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-20","2019","03","20","","17.4","","5.4","","11.4","","6.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-21","2019","03","21","","18.4","","7.9","","13.2","","4.8","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-22","2019","03","22","","16.0","","8.8","","12.4","","5.6","","0.0","","","","","M","0.3","","","","","M","","M"
"2019-03-23","2019","03","23","","13.9","","8.3","","11.1","","6.9","","0.0","","","","","M","0.1","","","","","M","","M"
"2019-03-24","2019","03","24","","11.9","","5.7","","8.8","","9.2","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-25","2019","03","25","","12.5","","6.0","","9.3","","8.7","","0.0","","","","","M","7.7","","","","","M","","M"
"2019-03-26","2019","03","26","","12.8","","7.7","","10.3","","7.7","","0.0","","","","","M","3.2","","","","","M","","M"
"2019-03-27","2019","03","27","","13.9","","3.4","","8.7","","9.3","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-28","2019","03","28","","14.9","","7.8","","11.4","","6.6","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-29","2019","03","29","","16.3","","5.5","","10.9","","7.1","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-30","2019","03","30","","15.3","","6.4","","10.8","","7.2","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-03-31","2019","03","31","","15.6","","6.6","","11.1","","6.9","","0.0","","","","","M","0.0","","","","","M","","M"
"2019-04-01","2019","04","01","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-02","2019","04","02","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-03","2019","04","03","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-04","2019","04","04","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-05","2019","04","05","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-06","2019","04","06","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-07","2019","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-08","2019","04","08","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-09","2019","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-10","2019","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-11","2019","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-12","2019","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-13","2019","04","13","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-14","2019","04","14","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-15","2019","04","15","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-16","2019","04","16","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-17","2019","04","17","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-18","2019","04","18","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-19","2019","04","19","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-20","2019","04","20","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-21","2019","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"2019-04-22","2019","04","22","","","","","","","","","","","","","","","","","","","","","","",""
