"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.75"
"Elevation","36.00"
"Climate Identifier","7025250"
"WMO Identifier","71627"
"TC Identifier","YUL"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"1999-01-01","1999","01","01","","-17.4","","-23.6","","-20.5","","38.5","","0.0","","0.0","","1.0","","1.0","","2","","","","",""
"1999-01-02","1999","01","02","","-14.5","","-23.9","","-19.2","","37.2","","0.0","","0.0","","0.0","","0.0","","2","","","","",""
"1999-01-03","1999","01","03","","-1.7","","-15.2","","-8.5","","26.5","","0.0","","1.2","","11.4","","31.8","","7","","","","",""
"1999-01-04","1999","01","04","","-2.8","","-16.0","","-9.4","","27.4","","0.0","","0.0","","0.0","T","0.0","T","8","","","","",""
"1999-01-05","1999","01","05","","-9.0","","-19.6","","-14.3","","32.3","","0.0","","0.0","","0.0","","0.0","","8","","","","",""
"1999-01-06","1999","01","06","","-4.5","","-9.7","","-7.1","","25.1","","0.0","","0.0","","3.1","","3.1","","8","","","","",""
"1999-01-07","1999","01","07","","-4.1","","-18.3","","-11.2","","29.2","","0.0","","0.0","","0.8","","0.8","","10","","","","",""
"1999-01-08","1999","01","08","","-6.7","","-18.8","","-12.8","","30.8","","0.0","","0.0","","5.2","","4.6","","8","","","","",""
"1999-01-09","1999","01","09","","-7.3","","-12.5","","-9.9","","27.9","","0.0","","0.0","","13.8","","15.6","","17","","","","",""
"1999-01-10","1999","01","10","","-9.2","","-20.1","","-14.7","","32.7","","0.0","","0.0","","0.6","","0.6","","21","","","","",""
"1999-01-11","1999","01","11","","-8.7","","-22.4","","-15.6","","33.6","","0.0","","0.0","","0.6","","0.6","","20","","","","",""
"1999-01-12","1999","01","12","","-13.4","","-20.4","","-16.9","","34.9","","0.0","","0.0","","4.6","","4.6","","23","","","","",""
