"Station Name","MONTREAL/PIERRE ELLIOTT TRUDEAU INTL"
"Province","QUEBEC"
"Latitude","45.47"
"Longitude","-73.74"
"Elevation","32.10"
"Climate Identifier","702S006"
"WMO Identifier","71183"
"TC Identifier","WTQ"

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2013-01-01","2013","01","01","","-1.2","","-16.5","","-8.9","","26.9","","0.0","","","M","","M","0.2","","32","","29","","54",""
"2013-01-02","2013","01","02","","-13.8","","-22.9","","-18.4","","36.4","","0.0","","","M","","M","0.6","","31","","","","<31",""
"2013-01-03","2013","01","03","","-12.9","","-23.1","","-18.0","","36.0","","0.0","","0.0","","","M","0.8","","31","","","","<31",""
"2013-01-04","2013","01","04","","0.5","","-15.1","","-7.3","","25.3","","0.0","","","M","","M","0.5","","33","","24","","56",""
"2013-01-05","2013","01","05","","0.6","","-12.7","","-6.1","","24.1","","0.0","","","M","","M","0.0","","30","","32","","56",""
"2013-01-06","2013","01","06","","-6.9","","-10.5","","-8.7","","26.7","","0.0","","","M","","M","5.0","","30","","3","","32",""
"2013-01-07","2013","01","07","","-6.0","","-13.6","","-9.8","","27.8","","0.0","","","M","","M","0.0","","30","","18","","32",""
"2013-01-08","2013","01","08","","1.8","","-10.7","","-4.5","","22.5","","0.0","","","M","","M","0.0","","29","","24","","41",""
"2013-01-09","2013","01","09","","5.5","","-6.2","","-0.4","","18.4","","0.0","","","M","","M","0.4","","28","","27","","56",""
"2013-01-10","2013","01","10","","3.0","","-2.5","","0.3","","17.7","","0.0","","","M","","M","0.0","","25","","26","","48",""
"2013-01-11","2013","01","11","","2.9","","-2.9","","0.0","","18.0","","0.0","","","M","","M","0.2","","25","","","","<31",""
"2013-01-12","2013","01","12","","5.3","","1.5","","3.4","","14.6","","0.0","","","M","","M","0.4","","23","","","","<31",""
"2013-01-13","2013","01","13","","5.6","","1.9","","3.8","","14.2","","0.0","","","M","","M","4.4","","18","","15","","43",""
"2013-01-14","2013","01","14","","6.2","","-0.3","","3.0","","15.0","","0.0","","","M","","M","1.3","","8","","29","","54",""
"2013-01-15","2013","01","15","","0.0","","-3.2","","-1.6","","19.6","","0.0","","","M","","M","0.0","","7","","","","<31",""
"2013-01-16","2013","01","16","","1.9","","-3.4","","-0.8","","18.8","","0.0","","","M","","M","0.0","","8","","24","","35",""
"2013-01-17","2013","01","17","","1.7","","-18.9","","-8.6","","26.6","","0.0","","","M","","M","0.8","","7","","30","","56",""
"2013-01-18","2013","01","18","","-7.0","","-21.4","","-14.2","","32.2","","0.0","","","M","","M","0.0","","7","","27","","41",""
"2013-01-19","2013","01","19","","1.1","","-7.5","","-3.2","","21.2","","0.0","","0.0","","","M","11.6","","14","","16","","35",""
"2013-01-20","2013","01","20","","6.6","","-15.7","","-4.6","","22.6","","0.0","","","M","","M","4.3","","21","","25","","69",""
"2013-01-21","2013","01","21","","-15.5","","-19.6","","-17.6","","35.6","","0.0","","","M","","M","0.2","","18","","29","","32",""
"2013-01-22","2013","01","22","","-15.3","","-23.0","","-19.2","","37.2","","0.0","","","M","","M","0.2","","18","","32","","43",""
