"STATION","NAME","DATE","ACMH","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF1","WDF2","WDF5","WDFG","WSF1","WSF2","WSF5","WSFG","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22"
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-01",,," 0450"," 0052","0.8","0.0","0.0",,"13.9","4.4",,"   50",,,"   45","5.4",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-02",,," 2150"," 2149","5.1","0.0","0.0",,"14.4","2.2",,"  340",,,"  338","5.8",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-03",,," 0650"," 0653","0.0","0.0","0.0",,"2.2","-1.7",,"   40",,,"   45","6.3",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-04",,," 0350"," 0030","2.0","0.0","0.0",,"1.1","-2.2",,"   30",,,"   45","5.4",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-05",,," 1450"," 1313","5.3","38.0","51.0",,"2.2","-3.3",,"  310",,,"  315","10.3",,,"15.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-06",,," 2350"," 0801","0.0","0.0","0.0",,"4.4","-3.3",,"  270",,,"  225","6.7",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-07",,," 1550"," 1548","0.0","0.0","0.0",,"7.2","2.2",,"   40",,,"   45","7.2",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-08",,," 2150"," 1001","0.0","0.0","0.0",,"3.3","-7.8",,"  300",,,"  293","9.4",,,"15.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-09",,," 1250"," 1053","0.0","0.0","0.0",,"-3.9","-8.9",,"  280",,,"  293","7.6",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-10",,," 0550"," 0008","0.0","0.0","0.0",,"-1.7","-7.8",,"  280",,,"  270","5.4",,,"8.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-11",,," 2350"," 2128","1.3","15.0","0.0",,"-3.3","-6.1",,"  290",,,"  270","7.6",,,"11.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-12",,," 2350"," 1621","0.0","0.0","0.0",,"0.6","-6.1",,"  290",,,"  270","7.6",,,"14.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-13",,," 1850"," 1325","0.0","0.0","0.0",,"2.2","-2.8",,"  230",,,"  270","6.7",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-14",,," 0250"," 2206","0.0","0.0","0.0",,"7.2","-1.7",,"  230",,,"  270","5.8",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-15",,," 2050"," 1617","0.5","8.0","0.0",,"2.2","-8.3",,"  290",,,"  225","8.0",,,"16.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-16",,," 1450"," 1127","0.0","0.0","0.0",,"-3.3","-10.6",,"  280",,,"  270","7.2",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-17",,," 0850"," 0834","7.6","104.0","25.0",,"-0.6","-5.6",,"  180",,,"  225","5.8",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-18",,," 0750"," 1920","0.0","0.0","102.0",,"1.1","-2.2",,"  270",,,"  225","4.5",,,"7.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-19",,," 2250"," 1718","0.5","15.0","51.0",,"1.1","-5.0",,"  280",,,"  270","7.2",,,"12.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-20",,," 2350"," 2142","0.5","13.0","76.0",,"-5.0","-15.6",,"  270",,,"  270","7.2",,,"12.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-21",,," 1150"," 0023","0.0","0.0","76.0",,"-12.8","-18.9",,"  270",,,"  270","8.0",,,"13.4",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-22",,," 1450"," 1120","0.0","0.0","76.0",,"-0.6","-12.8",,"  280",,,"  270","7.6",,,"12.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-23",,," 0650"," 1404","0.0","0.0","51.0",,"-1.7","-3.9",,"  240",,,"  248","6.3",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-24",,," 2250"," 1314","0.0","0.0","25.0",,"2.8","-2.8",,"  230",,,"  270","6.7",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-25",,," 1150"," 1148","0.0","0.0","0.0",,"3.3","0.0",,"  250",,,"  248","9.8",,,"11.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-26",,," 1650"," 1303","0.0","0.0","0.0",,"0.0","-6.1",,"  280",,,"  315","8.0",,,"14.9",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-27",,," 1450"," 1316","0.0","0.0","0.0",,"0.0","-7.2",,"  280",,,"  225","6.7",,,"10.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-28",,," 1450"," 1334","0.0","0.0","0.0",,"5.0","-3.3",,"  290",,,"  293","6.7",,,"9.3",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-29",,," 1750"," 1306","0.0","0.0","0.0",,"2.8","-3.3",,"  290",,,"  293","5.8",,,"8.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-30",,," 1150"," 1340","0.0","0.0","0.0",,"1.1","-4.4",,"   50",,,"  270","4.5",,,"5.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-01-31",,," 1850"," 1302","1.8","20.0","0.0",,"0.0","-2.8",,"   40",,,"   45","6.7",,,"7.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-01",,," 0150"," 0204","9.9","0.0","25.0",,"2.8","0.0",,"   40",,,"   45","5.4",,,"6.2",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-02",,," 0150"," 1108","12.7","109.0","25.0",,"1.7","-3.9",,"  360",,,"  315","7.6",,,"9.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-03",,," 0750"," 1452","0.0","0.0","102.0",,"-1.1","-7.2",,"  310",,,"  293","6.3",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-04",,," 1450"," 1115","0.0","0.0","102.0",,"0.6","-8.3",,"  300",,,"  315","4.5",,,"7.7",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-05",,," 2050"," 1918","5.8","84.0","76.0",,"-2.2","-5.0",,"   50",,,"   45","7.2",,,"11.8",,,,,,,,,,,,,,,,,,,
"USW00094728","NY CITY CENTRAL PARK, NY US","1985-02-06",,," 0050"," 0029","4.3","61.0","178.0",,"-2.2","-4.4",,"   60",,,"   68","7.6",,,"10.8",,,,,,,,,,,,,,,,,,,
